Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
592,Karol Świderski,FW,pl Poland,25,1997,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,41723204
593,Wojciech Szczęsny,GK,pl Poland,32,1990,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,01b8a2b2
594,Damian Szymański,MF,pl Poland,26,1995,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e935dbbf
595,Sebastian Szymański,MF,pl Poland,23,1999,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,bb718263
596,Dušan Tadić,MFFW,rs Serbia,33,1988,2.9,0,1,0,0.0,0.35,0.00,0.00,,13.3,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,2475dcc6
597,Nicolás Tagliafico,DF,ar Argentina,29,1992,4.1,0,3,1,33.3,0.72,0.24,0.00,0.00,11.3,0,0,0,1.0,1.0,0.34,-1.0,-1.0,Matches,f0661424
598,Montassar Talbi,DF,tn Tunisia,24,1998,3.0,0,1,1,100.0,0.33,0.33,0.00,0.00,33.7,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,a4a44eb0
599,Hassan Al Tambakti,DF,sa Saudi Arabia,23,1999,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6d78c320
600,Ao Tanaka,MF,jp Japan,23,1998,1.9,1,1,1,100.0,0.53,0.53,1.00,1.00,1.5,0,0,0,1.0,1.0,0.96,0.0,0.0,Matches,1d36d6b6
601,Shogo Taniguchi,DF,jp Japan,30,1991,2.3,0,2,0,0.0,0.86,0.00,0.00,,8.0,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches,828a9c47
602,Mehdi Taremi,FW,ir IR Iran,29,1992,3.0,2,5,1,20.0,1.67,0.33,0.20,1.00,16.0,0,1,1,1.3,0.6,0.11,+0.7,+0.4,Matches,4c2a5d34
603,Kenneth Taylor,MF,nl Netherlands,20,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ad9b2747
604,Aurélien Tchouaméni,MF,fr France,22,2000,6.9,1,6,2,33.3,0.87,0.29,0.17,0.50,23.7,0,0,0,0.3,0.3,0.06,+0.7,+0.7,Matches,4f255115
605,Yeltsin Tejeda,MF,cr Costa Rica,30,1992,3.0,1,2,2,100.0,0.67,0.67,0.50,0.50,15.1,0,0,0,0.4,0.4,0.21,+0.6,+0.6,Matches,74319b04
606,Alex Telles,DF,br Brazil,29,1992,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e73c9bb2
607,Sorba Thomas,MF,wls Wales,22,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8725a42e
608,Marcus Thuram,FWMF,fr France,24,1997,1.7,0,1,0,0.0,0.60,0.00,0.00,,5.4,0,0,0,0.2,0.2,0.22,-0.2,-0.2,Matches,6f8cd6d0
609,Youri Tielemans,MF,be Belgium,25,1997,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,56f7a928
610,Jurriën Timber,DF,nl Netherlands,20,2001,4.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,41034650
611,Karl Toko Ekambi,FWMF,cm Cameroon,29,1992,1.8,0,2,1,50.0,1.08,0.54,0.00,0.00,15.6,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches,5ceba7fc
612,Nouhou Tolo,DF,cm Cameroon,24,1997,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,0796512f
613,Takehiro Tomiyasu,DFMF,jp Japan,23,1998,2.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b3af9be1
614,Mehdi Torabi,MF,ir IR Iran,27,1994,0.7,0,2,0,0.0,2.90,0.00,0.00,,19.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,74567feb
615,Félix Torres Caicedo,DF,ec Ecuador,25,1997,3.0,0,1,0,0.0,0.33,0.00,0.00,,8.5,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches,c0a8860f
616,Ferrán Torres,FW,es Spain,22,2000,2.4,2,3,1,33.3,1.24,0.41,0.33,1.00,17.1,0,1,1,1.0,0.2,0.08,+1.0,+0.8,Matches,9e1035f8
617,Gerson Torres,MF,cr Costa Rica,24,1997,0.7,0,1,0,0.0,1.41,0.00,0.00,,30.8,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,d56713ff
618,Pau Torres,DF,es Spain,25,1997,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,532e1e4f
619,Kieran Trippier,DF,eng England,31,1990,2.3,0,1,0,0.0,0.44,0.00,0.00,,27.2,1,0,0,0.0,0.0,0.05,0.0,0.0,Matches,21512407
620,Leandro Trossard,FWMF,be Belgium,27,1994,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,38ceb24a
621,Matt Turner,GK,us United States,27,1994,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4a51ba65
622,Ayase Ueda,FW,jp Japan,23,1998,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c0295327
623,Hwang Ui-jo,FWMF,kr Korea Republic,29,1992,1.2,0,1,0,0.0,0.85,0.00,0.00,,10.5,0,0,0,0.5,0.5,0.47,-0.5,-0.5,Matches,a2d873dd
624,Dayot Upamecano,DF,fr France,23,1998,5.3,0,1,0,0.0,0.19,0.00,0.00,,9.7,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,d248cd8f
625,Enner Valencia,FWMF,ec Ecuador,32,1989,2.8,3,8,3,37.5,2.82,1.06,0.25,0.67,18.9,1,1,1,2.3,1.5,0.19,+0.7,+0.5,Matches,fb485406
626,Federico Valverde,MF,uy Uruguay,23,1998,3.0,0,7,1,14.3,2.33,0.33,0.00,0.00,33.0,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches,0959c2a2
627,Virgil van Dijk,DF,nl Netherlands,30,1991,5.3,0,3,0,0.0,0.56,0.00,0.00,,10.6,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,e06683ca
628,Raphaël Varane,DF,fr France,29,1993,5.8,0,3,0,0.0,0.52,0.00,0.00,,7.2,0,0,0,0.3,0.3,0.12,-0.3,-0.3,Matches,9f8e9423
629,Guillermo Varela,DF,uy Uruguay,29,1993,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,5c961282
630,Ruben Vargas,FW,ch Switzerland,23,1998,3.2,0,3,1,33.3,0.95,0.32,0.00,0.00,17.0,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches,6ecbddf6
631,Matías Vecino,MF,uy Uruguay,30,1991,2.2,0,1,1,100.0,0.46,0.46,0.00,0.00,10.1,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches,44ac04e9
632,Alexis Vega,FW,mx Mexico,24,1997,2.1,0,9,2,22.2,4.20,0.93,0.00,0.00,21.0,1,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches,f40f4c38
633,Miloš Veljković,DF,rs Serbia,26,1995,2.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a5ae8f8e
634,Johan Venegas,FWMF,cr Costa Rica,33,1988,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,5eadd340
635,Jordan Veretout,MF,fr France,29,1993,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4a56052c
636,Jan Vertonghen,DF,be Belgium,35,1987,3.0,0,2,0,0.0,0.67,0.00,0.00,,10.4,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,ba23a904
637,Matías Viña,DF,uy Uruguay,24,1997,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,08eb3b58
638,Vitinha,MF,pt Portugal,22,2000,1.3,0,2,2,100.0,1.50,1.50,0.00,0.00,28.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,3b029691
639,Steven Vitória,DF,ca Canada,35,1987,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9bc450e6
640,Dušan Vlahović,FW,rs Serbia,22,2000,0.9,1,3,3,100.0,3.42,3.42,0.33,0.33,10.9,0,0,0,0.8,0.8,0.27,+0.2,+0.2,Matches,79443529
641,Nikola Vlašić,FWMF,hr Croatia,24,1997,2.3,0,5,1,20.0,2.15,0.43,0.00,0.00,17.2,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches,aa8e289e
642,Mohammed Waad,MFDF,qa Qatar,22,1999,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,94e8df02
643,Kyle Walker,DF,eng England,32,1990,2.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,86dd77d1
644,Danny Ward,GK,wls Wales,28,1993,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d3ce0e89
645,Kendall Waston,DF,cr Costa Rica,34,1988,2.5,0,1,1,100.0,0.40,0.40,0.00,0.00,10.5,0,0,0,0.2,0.2,0.15,-0.2,-0.2,Matches,02ea59b0
646,Timothy Weah,FW,us United States,22,2000,3.5,1,5,3,60.0,1.42,0.85,0.20,0.33,17.5,0,0,0,0.6,0.6,0.13,+0.4,+0.4,Matches,8eec784d
647,Wout Weghorst,FW,nl Netherlands,29,1992,0.7,2,2,2,100.0,2.81,2.81,1.00,1.00,12.0,0,0,0,0.2,0.2,0.10,+1.8,+1.8,Matches,c4e87b8b
648,Wéverton,GK,br Brazil,34,1987,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,81be82e9
649,Silvan Widmer,DF,ch Switzerland,29,1993,2.9,0,1,0,0.0,0.34,0.00,0.00,,9.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,f68b64fc
650,Iñaki Williams,FW,gh Ghana,27,1994,3.0,0,2,0,0.0,0.67,0.00,0.00,,20.1,0,0,0,0.3,0.3,0.15,-0.3,-0.3,Matches,6a99e0b1
651,Neco Williams,DF,wls Wales,21,2001,2.3,0,3,0,0.0,1.32,0.00,0.00,,26.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,dd323728
652,Nico Williams,FW,es Spain,19,2002,1.6,0,1,0,0.0,0.62,0.00,0.00,,14.3,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches,afdc14d7
653,Callum Wilson,FW,eng England,30,1992,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c596fcb0
654,Harry Wilson,MFFW,wls Wales,25,1997,1.8,0,2,0,0.0,1.13,0.00,0.00,,20.9,1,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,c6dc9ecd
655,Roan Wilson,MF,cr Costa Rica,20,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,719300f2
656,Axel Witsel,MF,be Belgium,33,1989,3.0,0,1,0,0.0,0.33,0.00,0.00,,32.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,5dfc6ad5
657,Jeong Woo-yeong,MF,kr Korea Republic,22,1999,0.5,0,1,0,0.0,2.00,0.00,0.00,,24.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,6190474d
658,Jung Woo-young,MF,kr Korea Republic,32,1989,3.4,0,1,0,0.0,0.30,0.00,0.00,,25.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,858a34b8
659,Christopher Wooh,DF,cm Cameroon,20,2001,1.0,0,1,0,0.0,1.00,0.00,0.00,,15.1,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,b003239d
660,David Wotherspoon,MF,ca Canada,32,1990,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e9a9b1fa
661,Bailey Wright,DF,au Australia,29,1992,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4be70ecf
662,Haji Wright,FW,us United States,24,1998,1.5,1,6,2,33.3,3.94,1.31,0.17,0.50,13.6,0,0,0,0.5,0.5,0.09,+0.5,+0.5,Matches,91cd37b7
663,Granit Xhaka,MF,ch Switzerland,29,1992,4.0,0,6,3,50.0,1.50,0.75,0.00,0.00,21.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,e61b8aee
664,Miki Yamane,DFMF,jp Japan,28,1993,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b712e02d
665,Jawad El Yamiq,DF,ma Morocco,30,1992,3.4,0,2,1,50.0,0.58,0.29,0.00,0.00,12.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,f6f6b6e8
666,Taha Yassine Khenissi,FW,tn Tunisia,30,1992,0.3,0,1,0,0.0,3.10,0.00,0.00,,23.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,44d6aedb
667,DeAndre Yedlin,DF,us United States,28,1993,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ae0a7ddf
668,Maya Yoshida,DF,jp Japan,33,1988,4.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,caffaf5a
669,Kim Young-gwon,DF,kr Korea Republic,32,1990,3.9,1,2,1,50.0,0.51,0.26,0.50,1.00,10.9,0,0,0,0.8,0.8,0.38,+0.2,+0.2,Matches,9459ace1
670,Cho Yumin,FW,kr Korea Republic,25,1996,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7a4529dc
671,Denis Zakaria,MF,ch Switzerland,25,1996,0.7,0,1,0,0.0,1.53,0.00,0.00,,25.4,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,384d58d9
672,Nicola Zalewski,MF,pl Poland,20,2002,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,45191c29
673,Andre-Frank Zambo Anguissa,MF,cm Cameroon,26,1995,2.9,0,1,1,100.0,0.35,0.35,0.00,0.00,11.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,6bb2c084
674,Álvaro Zamora,MF,cr Costa Rica,20,2002,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d050756d
675,Anass Zaroury,FW,ma Morocco,21,2000,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,07d65234
676,Piotr Zieliński,MFFW,pl Poland,28,1994,3.6,1,3,2,66.7,0.82,0.55,0.33,0.50,11.3,0,0,0,0.6,0.6,0.20,+0.4,+0.4,Matches,a5296e55
677,Walker Zimmerman,DF,us United States,29,1993,3.1,0,1,0,0.0,0.32,0.00,0.00,,15.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,220fa883
678,Andrija Živković,DF,rs Serbia,25,1996,2.3,0,1,0,0.0,0.43,0.00,0.00,,24.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,321f83a2
679,Hakim Ziyech,FW,ma Morocco,29,1993,7.1,1,10,2,20.0,1.42,0.28,0.10,0.50,27.2,1,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches,6622454d
680,Filip Đuričić,MFFW,rs Serbia,30,1992,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,eccbe56a
